Now Timestamp,API Timestamp,AQI,PM10
2024-05-28T01:35:00.687685,2024-05-28T07:00:00+07:00,93,93
2024-05-28T01:40:01.310040,2024-05-28T07:00:00+07:00,93,93
2024-05-28T01:45:00.890007,2024-05-28T07:00:00+07:00,93,93
2024-05-28T01:50:00.534900,2024-05-28T07:00:00+07:00,93,93
2024-05-28T01:55:01.487023,2024-05-28T07:00:00+07:00,93,93
2024-05-28T02:00:01.078983,2024-05-28T07:00:00+07:00,93,93
2024-05-28T02:05:00.691406,2024-05-28T07:00:00+07:00,93,93
2024-05-28T02:10:01.327737,2024-05-28T07:00:00+07:00,93,93
2024-05-28T02:15:00.903903,2024-05-28T08:00:00+07:00,86,86
2024-05-28T02:20:00.498723,2024-05-28T08:00:00+07:00,86,86
2024-05-28T02:25:01.119072,2024-05-28T08:00:00+07:00,86,86
2024-05-28T02:30:00.705342,2024-05-28T08:00:00+07:00,86,86
2024-05-28T02:35:01.319351,2024-05-28T08:00:00+07:00,86,86
2024-05-28T02:40:00.940108,2024-05-28T08:00:00+07:00,86,86
2024-05-28T02:45:00.602486,2024-05-28T08:00:00+07:00,86,86
2024-05-28T02:50:01.402629,2024-05-28T08:00:00+07:00,86,86
2024-05-28T02:55:01.005571,2024-05-28T08:00:00+07:00,86,86
2024-05-28T03:00:00.604660,2024-05-28T08:00:00+07:00,86,86
2024-05-28T03:05:01.179893,2024-05-28T08:00:00+07:00,86,86
2024-05-28T03:10:00.805827,2024-05-28T08:00:00+07:00,86,86
2024-05-28T03:15:00.486702,2024-05-28T08:00:00+07:00,86,86
2024-05-28T03:20:01.111245,2024-05-28T09:00:00+07:00,70,70
2024-05-28T03:25:00.684666,2024-05-28T09:00:00+07:00,70,70
2024-05-28T03:30:01.339417,2024-05-28T09:00:00+07:00,70,70
2024-05-28T03:35:00.899684,2024-05-28T09:00:00+07:00,70,70
2024-05-28T03:40:00.521773,2024-05-28T09:00:00+07:00,70,70
2024-05-28T03:45:01.083230,2024-05-28T09:00:00+07:00,70,70
2024-05-28T03:50:00.689633,2024-05-28T09:00:00+07:00,70,70
2024-05-28T03:55:01.684119,2024-05-28T09:00:00+07:00,70,70
2024-05-28T04:00:01.593802,2024-05-28T09:00:00+07:00,70,70
2024-05-28T04:05:01.217620,2024-05-28T09:00:00+07:00,70,70
2024-05-28T04:10:00.803715,2024-05-28T09:00:00+07:00,70,70
2024-05-28T04:15:01.378879,2024-05-28T09:00:00+07:00,70,70
2024-05-28T04:20:00.915229,2024-05-28T10:00:00+07:00,64,64
2024-05-28T04:25:00.480071,2024-05-28T10:00:00+07:00,64,64
2024-05-28T04:30:01.101798,2024-05-28T10:00:00+07:00,64,64
2024-05-28T04:35:00.651251,2024-05-28T10:00:00+07:00,64,64
2024-05-28T04:40:01.204383,2024-05-28T10:00:00+07:00,64,64
2024-05-28T04:45:00.789434,2024-05-28T10:00:00+07:00,64,64
2024-05-28T04:50:00.509446,2024-05-28T10:00:00+07:00,64,64
2024-05-28T04:55:01.080020,2024-05-28T10:00:00+07:00,64,64
2024-05-28T05:00:00.678555,2024-05-28T10:00:00+07:00,64,64
2024-05-28T05:05:01.585597,2024-05-28T10:00:00+07:00,64,64
2024-05-28T05:10:01.202975,2024-05-28T10:00:00+07:00,64,64
2024-05-28T05:15:00.769014,2024-05-28T10:00:00+07:00,64,64
2024-05-28T05:20:01.369862,2024-05-28T11:00:00+07:00,69,69
2024-05-28T05:25:00.966804,2024-05-28T11:00:00+07:00,69,69
2024-05-28T05:30:00.530323,2024-05-28T11:00:00+07:00,69,69
2024-05-28T05:35:01.114021,2024-05-28T11:00:00+07:00,69,69
2024-05-28T05:40:00.698247,2024-05-28T11:00:00+07:00,69,69
2024-05-28T05:45:01.282293,2024-05-28T11:00:00+07:00,69,69
2024-05-28T05:50:00.863106,2024-05-28T11:00:00+07:00,69,69
2024-05-28T05:55:00.530368,2024-05-28T11:00:00+07:00,69,69
2024-05-28T06:00:01.095554,2024-05-28T11:00:00+07:00,69,69
2024-05-28T06:05:00.710743,2024-05-28T11:00:00+07:00,69,69
2024-05-28T06:10:01.627820,2024-05-28T11:00:00+07:00,69,69
2024-05-28T06:15:01.241799,2024-05-28T11:00:00+07:00,69,69
2024-05-28T06:20:00.781002,2024-05-28T11:00:00+07:00,69,69
2024-05-28T06:25:00.486455,2024-05-28T12:00:00+07:00,60,60
2024-05-28T06:30:01.065358,2024-05-28T12:00:00+07:00,60,60
2024-05-28T06:35:00.706677,2024-05-28T12:00:00+07:00,60,60
2024-05-28T06:40:01.315510,2024-05-28T12:00:00+07:00,60,60
2024-05-28T06:45:00.879858,2024-05-28T12:00:00+07:00,60,60
2024-05-28T06:50:00.487132,2024-05-28T12:00:00+07:00,60,60
2024-05-28T06:55:01.030397,2024-05-28T12:00:00+07:00,60,60
2024-05-28T07:00:00.590607,2024-05-28T12:00:00+07:00,60,60
2024-05-28T07:05:01.477391,2024-05-28T12:00:00+07:00,60,60
2024-05-28T07:10:01.069178,2024-05-28T12:00:00+07:00,60,60
2024-05-28T07:15:00.691186,2024-05-28T12:00:00+07:00,60,60
2024-05-28T07:20:01.251472,2024-05-28T12:00:00+07:00,60,60
2024-05-28T07:25:00.798968,2024-05-28T12:00:00+07:00,60,60
2024-05-28T07:30:00.457122,2024-05-28T12:00:00+07:00,60,60
2024-05-28T07:35:01.116313,2024-05-28T12:00:00+07:00,60,60
2024-05-28T07:40:00.721396,2024-05-28T12:00:00+07:00,60,60
2024-05-28T07:45:01.280275,2024-05-28T12:00:00+07:00,60,60
2024-05-28T07:50:00.889750,2024-05-28T12:00:00+07:00,60,60
2024-05-28T07:55:00.546425,2024-05-28T12:00:00+07:00,60,60
2024-05-28T08:00:01.087323,2024-05-28T12:00:00+07:00,60,60
2024-05-28T08:05:00.702142,2024-05-28T12:00:00+07:00,60,60
2024-05-28T08:10:01.518408,2024-05-28T12:00:00+07:00,60,60
2024-05-28T08:15:01.270228,2024-05-28T12:00:00+07:00,60,60
2024-05-28T08:20:00.920655,2024-05-28T12:00:00+07:00,60,60
2024-05-28T08:25:00.513823,2024-05-28T14:00:00+07:00,44,44
2024-05-28T08:30:01.103456,2024-05-28T14:00:00+07:00,44,44
2024-05-28T08:35:00.667277,2024-05-28T14:00:00+07:00,44,44
2024-05-28T08:40:01.315134,2024-05-28T14:00:00+07:00,44,44
2024-05-28T08:45:00.880880,2024-05-28T14:00:00+07:00,44,44
2024-05-28T08:50:00.500443,2024-05-28T14:00:00+07:00,44,44
2024-05-28T08:55:01.086985,2024-05-28T14:00:00+07:00,44,44
2024-05-28T09:00:00.710517,2024-05-28T14:00:00+07:00,44,44
2024-05-28T09:05:01.281090,2024-05-28T14:00:00+07:00,44,44
2024-05-28T09:10:00.854080,2024-05-28T14:00:00+07:00,44,44
2024-05-28T09:15:00.711757,2024-05-28T15:00:00+07:00,54,54
2024-05-28T09:20:01.326712,2024-05-28T15:00:00+07:00,54,54
2024-05-28T09:25:00.925350,2024-05-28T15:00:00+07:00,54,54
2024-05-28T09:30:00.520084,2024-05-28T15:00:00+07:00,54,54
2024-05-28T09:35:01.321172,2024-05-28T15:00:00+07:00,54,54
2024-05-28T09:40:00.871632,2024-05-28T15:00:00+07:00,54,54
2024-05-28T09:45:00.483510,2024-05-28T15:00:00+07:00,54,54
2024-05-28T09:50:01.107161,2024-05-28T15:00:00+07:00,54,54
2024-05-28T09:55:00.754702,2024-05-28T15:00:00+07:00,54,54
2024-05-28T10:00:01.347142,2024-05-28T15:00:00+07:00,54,54
2024-05-28T10:05:00.926844,2024-05-28T15:00:00+07:00,54,54
2024-05-28T10:10:00.518920,2024-05-28T15:00:00+07:00,54,54
2024-05-28T10:15:01.332590,2024-05-28T15:00:00+07:00,54,54
2024-05-28T10:20:00.897057,2024-05-28T16:00:00+07:00,50,50
2024-05-28T10:25:00.921360,2024-05-28T16:00:00+07:00,50,50
2024-05-28T10:30:00.510045,2024-05-28T16:00:00+07:00,50,50
2024-05-28T10:35:01.170895,2024-05-28T16:00:00+07:00,50,50
2024-05-28T10:40:00.840433,2024-05-28T16:00:00+07:00,50,50
2024-05-28T10:45:00.486757,2024-05-28T16:00:00+07:00,50,50
2024-05-28T10:50:01.117320,2024-05-28T16:00:00+07:00,50,50
2024-05-28T10:55:00.699743,2024-05-28T16:00:00+07:00,50,50
2024-05-28T11:00:01.239012,2024-05-28T16:00:00+07:00,50,50
2024-05-28T11:05:00.788000,2024-05-28T16:00:00+07:00,50,50
2024-05-28T11:10:01.385521,2024-05-28T16:00:00+07:00,50,50
2024-05-28T11:15:01.172366,2024-05-28T16:00:00+07:00,50,50
2024-05-28T11:20:00.969573,2024-05-28T17:00:00+07:00,41,41
2024-05-28T11:25:00.615547,2024-05-28T17:00:00+07:00,41,41
2024-05-28T11:30:01.482377,2024-05-28T17:00:00+07:00,41,41
2024-05-28T11:35:01.163126,2024-05-28T17:00:00+07:00,41,41
2024-05-28T11:40:00.787141,2024-05-28T17:00:00+07:00,41,41
2024-05-28T11:45:00.493357,2024-05-28T17:00:00+07:00,41,41
2024-05-28T11:50:01.090809,2024-05-28T17:00:00+07:00,41,41
2024-05-28T11:55:00.679289,2024-05-28T17:00:00+07:00,41,41
2024-05-28T12:00:01.321568,2024-05-28T17:00:00+07:00,41,41
2024-05-28T12:05:00.907501,2024-05-28T17:00:00+07:00,41,41
2024-05-28T12:10:00.839492,2024-05-28T17:00:00+07:00,41,41
2024-05-28T12:15:00.496460,2024-05-28T17:00:00+07:00,41,41
2024-05-28T12:20:01.123978,2024-05-28T17:00:00+07:00,41,41
2024-05-28T12:25:00.709168,2024-05-28T18:00:00+07:00,46,46
2024-05-28T12:30:01.317483,2024-05-28T18:00:00+07:00,46,46
2024-05-28T12:35:01.211385,2024-05-28T18:00:00+07:00,46,46
2024-05-28T12:40:00.796428,2024-05-28T18:00:00+07:00,46,46
2024-05-28T12:45:00.492344,2024-05-28T18:00:00+07:00,46,46
2024-05-28T12:50:01.051146,2024-05-28T18:00:00+07:00,46,46
2024-05-28T12:55:00.603207,2024-05-28T18:00:00+07:00,46,46
2024-05-28T13:00:01.312069,2024-05-28T18:00:00+07:00,46,46
2024-05-28T13:05:00.926778,2024-05-28T18:00:00+07:00,46,46
2024-05-28T13:10:00.519692,2024-05-28T18:00:00+07:00,46,46
2024-05-28T13:15:01.072460,2024-05-28T18:00:00+07:00,46,46
2024-05-28T13:20:00.722522,2024-05-28T18:00:00+07:00,46,46
2024-05-28T13:25:01.570202,2024-05-28T19:00:00+07:00,45,45
2024-05-28T13:30:01.206902,2024-05-28T19:00:00+07:00,45,45
2024-05-28T13:35:00.814275,2024-05-28T19:00:00+07:00,45,45
2024-05-28T13:40:00.887394,2024-05-28T19:00:00+07:00,45,45
2024-05-28T13:45:00.506856,2024-05-28T19:00:00+07:00,45,45
2024-05-28T13:50:01.141005,2024-05-28T19:00:00+07:00,45,45
2024-05-28T13:55:00.677297,2024-05-28T19:00:00+07:00,45,45
2024-05-28T14:00:01.323213,2024-05-28T19:00:00+07:00,45,45
2024-05-28T14:05:00.921612,2024-05-28T19:00:00+07:00,45,45
2024-05-28T14:10:00.482306,2024-05-28T19:00:00+07:00,45,45
2024-05-28T14:15:01.105496,2024-05-28T19:00:00+07:00,45,45
2024-05-28T14:20:00.679285,2024-05-28T19:00:00+07:00,45,45
2024-05-28T14:25:01.272741,2024-05-28T20:00:00+07:00,53,53
